record_id,raw_source,raw_title,normalized_title,publication_date,source_publication,byline_or_credit,person_name_variant,muck_rack_url,original_url,url_status,evidence_status,duplicate_group_id,duplicate_status,confidence,notes
MR077,Muck Rack,Kan du umgås med personer som fått vaccin mot covid-19?,Kan du umgås med personer som fått vaccin mot covid-19?,2021-02-07,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oUVANi/kan-du-umgas-med-personer-som-fatt-vaccin-mot-covid-19,https://www.svt.se/nyheter/lokalt/jonkoping/kan-du-umgas-med-personer-som-fatt-vaccin-mot-covid-19-svt-s-reporter-reder-ut,original_url_found,verified_original,DG087,unique,high,"Muck Rack raw date: Feb 07, 2021. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata."
MR078,Muck Rack,Regionrådet: ”Vi måste rikta mer insatser till dessa områden”,Regionrådet: ”Vi måste rikta mer insatser till dessa områden”,2021-02-03,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oUzGnJ/regionradet-vi-maste-rikta-mer-insatser-till-dessa-omraden,https://www.svt.se/nyheter/lokalt/jonkoping/regionradet-vi-maste-rikta-mer-insatser-till-dessa-omraden,original_url_found,verified_original,DG088,unique,high,"Muck Rack raw date: Feb 02, 2021. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata."
MR079,Muck Rack,Hälsokommunikatörerna: ”Vi träffade folk som inte visste att corona fanns i Sverige”,Hälsokommunikatörerna: ”Vi träffade folk som inte visste att corona fanns i Sverige”,2021-02-03,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oUzGnh/halsokommunikatorerna-vi-traffade-folk-som-inte-visste-att-corona-fanns-i-sverige,https://www.svt.se/nyheter/lokalt/jonkoping/halsokommunikatorerna-vi-pratade-med-dom-som-inte-visste-att-corona-fanns-i-sverige,original_url_found,verified_original,DG089,unique,high,"Muck Rack raw date: Feb 02, 2021. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata."
MR080,Muck Rack,Vetlanda speedway har valt ny lagledare - trots hårda läget,Vetlanda speedway har valt ny lagledare – trots hårda läget,2021-02-02,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oUeCzG/vetlanda-speedway-har-valt-ny-lagledare-trots-harda-laget,https://www.svt.se/nyheter/lokalt/jonkoping/vetlanda-speedway-har-valt-ny-lagledare,original_url_found,verified_original,DG090,unique,high,"Muck Rack raw date: Feb 02, 2021. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata."
MR081,Muck Rack,Apotek bröt mot pandemilagen - saknade skylt,Apotek bröt mot pandemilagen – saknade skylt,2021-02-02,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oUgmke/apotek-brot-mot-pandemilagen-saknade-skylt,https://www.svt.se/nyheter/lokalt/jonkoping/apotek-brot-mot-pandemilagen-saknade-skylt,original_url_found,verified_original,DG091,unique,high,"Muck Rack raw date: Feb 02, 2021. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata."
MR082,Muck Rack,Nedkyld man i kritiskt tillstånd - misstänks ha blivit utsatt för brott,Nedkyld man i kritiskt tillstånd – misstänks ha blivit utsatt för brott,2021-02-02,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oUyOAp/nedkyld-man-i-kritiskt-tillstand-misstanks-ha-blivit-utsatt-for-brott,https://www.svt.se/nyheter/lokalt/jonkoping/nedkyld-man-i-kritiskt-tillstand-misstanks-ha-blivit-utsatt-for-brott,original_url_found,verified_original,DG092,unique,high,"Muck Rack raw date: Feb 02, 2021. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata."
MR083,Muck Rack,I Stoeryd testade sig lägst andel för covid-19 i länet,I Stoeryd testade sig lägst andel för covid-19 i länet,2021-02-02,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oUoeMy/i-stoeryd-testade-sig-lagst-andel-for-covid-19-i-lanet,https://www.svt.se/nyheter/lokalt/jonkoping/har-testade-sig-lagst-andel-for-covid-19,original_url_found,verified_original,DG093,unique,high,"Muck Rack raw date: Feb 02, 2021. Original kandidat från Muck Rack-rubriklänk. Muck Rack-utdrag innehåller även kredit/omnämnande: Simon Fredling Jack. Original verifierad mot Sveriges Television: titelmatchning och metadata."
MR084,Muck Rack,SVT granskar: områden med utlandsfödda testar sig minst i länet,SVT granskar: Områden med utlandsfödda testar sig minst i länet,2021-02-02,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oUoenM/svt-granskar-omraden-med-utlandsfodda-testar-sig-minst-i-lanet,https://www.svt.se/nyheter/lokalt/jonkoping/svt-granskar-omraden-med-utlandsfodda-testar-sig-minst-i-lanet,original_url_found,verified_original,DG094,unique,high,"Muck Rack raw date: Feb 02, 2021. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata."
MR085,Both,Här testade sig allra flest för covid-19,Här testade sig allra flest för covid-19,2021-02-02,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oUoenK/har-testade-sig-allra-flest-for-covid-19,https://www.svt.se/nyheter/lokalt/jonkoping/i-ingatorp-testade-sig-allra-flest-for-covid-19,original_url_found,mixed,DG095,unique,high,"Muck Rack raw date: Feb 02, 2021. Original kandidat från Muck Rack-rubriklänk. Muck Rack-utdrag innehåller även kredit/omnämnande: Simon Fredling Jack. Original verifierad mot Sveriges Television: titelmatchning och metadata. Deep Research-belägg: Deep Research evidenstabell; matchar Muck Rack-post."
MR086,Muck Rack,Smittskyddsläkaren om första coronafallet i Sverige: ”Ögonblicket som förändrade allt”,Smittskyddsläkaren om första coronafallet i Sverige: ”Ögonblicket som förändrade allt”,2021-01-27,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oraA8U/smittskyddslakaren-om-forsta-coronafallet-i-sverige-ogonblicket-som-forandrade-allt,https://www.svt.se/nyheter/lokalt/jonkoping/smittskyddslakaren-om-forsta-coronafallet-i-sverige-ogonblicket-som-forandrade-allt,original_url_found,verified_original,DG096,unique,high,"Muck Rack raw date: Jan 27, 2021. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata."
MR087,Muck Rack,Konsumentrådgivarna larmar: Fler företag försvårar för kunder att få rätt,Konsumentrådgivarna larmar: Fler företag försvårar för kunder att få rätt,2021-01-25,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/orZH7X/konsumentradgivarna-larmar-fler-foretag-forsvarar-for-kunder-att-fa-ratt,https://www.svt.se/nyheter/lokalt/jonkoping/konsumentradgivarna-larmar-fler-foretag-forsvarar-for-kunder-att-fa-ratt,original_url_found,verified_original,DG097,unique,high,"Muck Rack raw date: Jan 25, 2021. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata."
MR088,Muck Rack,Idag infördes rekommendation om munskydd i kollektivtrafiken i Jönköping,Idag infördes rekommendation om munskydd i kollektivtrafiken i Jönköping,2021-01-07,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/o6Kone/idag-infordes-rekommendation-om-munskydd-i-kollektivtrafiken-i-jonkoping,https://www.svt.se/nyheter/lokalt/jonkoping/darfor-har-vi-inte-munskydd-pa-bussen-jag-aker-sa-lite,original_url_found,verified_original,DG098,unique,high,"Muck Rack raw date: Jan 07, 2021. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata."
MR089,Muck Rack,SVT förklarar: Så ska munskydd hanteras i kollektivtrafiken,SVT förklarar: Så ska munskydd hanteras i kollektivtrafiken,2021-01-06,Sveriges Television,By Simon Fredling; Ebba Öberg,Simon Fredling,https://muckrack.com/link/o6TRUG/svt-forklarar-sa-ska-munskydd-hanteras-i-kollektivtrafiken,https://www.svt.se/nyheter/lokalt/jonkoping/munskydd-infors-i-kollektivtrafiken,original_url_found,verified_original,DG099,unique,high,"Muck Rack raw date: Jan 05, 2021. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata."
MR090,Muck Rack,Trafikdirektören om munskydden: ”Vet inte hur det här kommer fungera”,Trafikdirektören om munskydden: ”Vet inte hur det här kommer fungera”,2021-01-06,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/o6TRrO/trafikdirektoren-om-munskydden-vet-inte-hur-det-har-kommer-fungera,https://www.svt.se/nyheter/lokalt/jonkoping/imorgon-rekommenderas-munskydd-i-kollektivtrafiken,original_url_found,verified_original,DG100,unique,high,"Muck Rack raw date: Jan 05, 2021. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata."
MR091,Muck Rack,Polisen om raketskjutningen: ”Kan vara ett insteg till kriminalitet”,Polisen om raketskjutningen: ”Kan vara ett insteg till kriminalitet”,2020-12-30,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/olEgMF/polisen-om-raketskjutningen-kan-vara-ett-insteg-till-kriminalitet,https://www.svt.se/nyheter/lokalt/jonkoping/polisen-om-raketskjutningen-kan-vara-ett-insteg-till-kriminalitet,original_url_found,verified_original,DG101,unique,high,"Muck Rack raw date: Dec 30, 2020. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata."
MR092,Muck Rack,Bilist misstänkt för brott efter att ha hjälpt man att fly från ungdomshem,Bilist hjälpte pojke att fly från ungdomshem – misstänks för brott,2020-12-30,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/ol5WeH/bilist-misstankt-for-brott-efter-att-ha-hjalpt-man-att-fly-fran-ungdomshem,https://www.svt.se/nyheter/lokalt/jonkoping/ungdom-rymde-fran-stigby-igen,original_url_found,verified_original,DG102,unique,high,"Muck Rack raw date: Dec 30, 2020. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata."
MR093,Muck Rack,Yngre har skjutit raketer mot andra - person fick hörselproblem,Yngre har skjutit raketer mot andra – person fick hörselproblem,2020-12-29,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oltteO/yngre-har-skjutit-raketer-mot-andra-person-fick-horselproblem,https://www.svt.se/nyheter/lokalt/jonkoping/yngre-har-skjutit-raketer-mot-andra-person-fick-horselproblem,original_url_found,verified_original,DG103,unique,high,"Muck Rack raw date: Dec 29, 2020. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata."
MR094,Muck Rack,Snart höjs parkeringsavgifterna – så påverkas du,Snart höjs parkeringsavgifterna – så påverkas du,2020-12-27,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/ol2jz7/snart-hojs-parkeringsavgifterna-sa-paverkas-du,https://www.svt.se/nyheter/lokalt/jonkoping/snart-hojs-parkeringsavgifterna-sa-paverkas-du,original_url_found,verified_original,DG104,unique,high,"Muck Rack raw date: Dec 26, 2020. Original kandidat från Muck Rack-rubriklänk. Muck Rack-utdrag innehåller även kredit/omnämnande: Simon Fredling Jack. Original verifierad mot Sveriges Television: titelmatchning och metadata."
MR095,Muck Rack,Kassörska på Willys har fått nog: ”Inte många som sköter sig”,Kassörskan har fått nog: ”Inte många som sköter sig”,2020-12-22,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/olk1T7/kassorska-pa-willys-har-fatt-nog-inte-manga-som-skoter-sig,https://www.svt.se/nyheter/lokalt/jonkoping/kassorskan-pa-willys-ryter-ifran,original_url_found,verified_original,DG105,unique,high,"Muck Rack raw date: Dec 21, 2020. Original kandidat från Muck Rack-rubriklänk. Muck Rack-utdrag innehåller även kredit/omnämnande: Simon Fredling Jack. Original verifierad mot Sveriges Television: titelmatchning och metadata."
MR096,Muck Rack,Här förvaras alla covidtester - i upp till -150 grader,Här förvaras alla covidtester – i upp till -150 grader,2020-12-20,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/olKlvh/har-forvaras-alla-covidtester-i-upp-till-150-grader,https://www.svt.se/nyheter/lokalt/jonkoping/har-forvaras-alla-covidtester-i-upp-till-150-grader,original_url_found,verified_original,DG106,unique,high,"Muck Rack raw date: Dec 19, 2020. Original kandidat från Muck Rack-rubriklänk. Muck Rack-utdrag innehåller även kredit/omnämnande: Simon Fredling Jack. Original verifierad mot Sveriges Television: titelmatchning och metadata."
MR097,Muck Rack,Flera åldringsbrott på Höglandet - polisen varnar människor,Flera åldringsbrott på Höglandet – polisen varnar människor,2020-12-18,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/ollr3J/flera-aldringsbrott-pa-hoglandet-polisen-varnar-manniskor,https://www.svt.se/nyheter/lokalt/jonkoping/hor-nar-bedragaren-forsoker-lura-at-sig-bankuppgifter-jag-kommer-fran-swedbank,original_url_found,verified_original,DG107,unique,high,"Muck Rack raw date: Dec 18, 2020. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata."
MR098,Muck Rack,Polis som visade tjänsteleg för att slippa krogkö får löneavdrag,Polis som visade tjänsteleg för att slippa krogkö får löneavdrag,2020-12-18,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/olT4ye/polis-som-visade-tjansteleg-for-att-slippa-krogko-far-loneavdrag,https://www.svt.se/nyheter/lokalt/jonkoping/polis-som-visade-tjansteleg-for-att-slippa-krogko-far-loneavdrag,original_url_found,verified_original,DG108,unique,high,"Muck Rack raw date: Dec 18, 2020. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata."
MR099,Muck Rack,De designar för musikhjälpen,De designar för musikhjälpen,2020-12-17,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/olL5xf/de-designar-for-musikhjalpen,https://www.svt.se/nyheter/lokalt/jonkoping/de-designar-for-musikhjalpen,original_url_found,verified_original,DG109,unique,high,"Muck Rack raw date: Dec 17, 2020. Original kandidat från Muck Rack-rubriklänk. Muck Rack-utdrag innehåller även kredit/omnämnande: Simon Fredling Jack. Original verifierad mot Sveriges Television: titelmatchning och metadata."
MR100,Muck Rack,Prolympia kör distansundervisning för grundskoleelever,Prolympia kör distansundervisning för grundskoleelever,2020-12-14,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oTGd29/prolympia-kor-distansundervisning-for-grundskoleelever,https://www.svt.se/nyheter/lokalt/jonkoping/prolympia-kor-distansundervisning-for-grundskoleelever,original_url_found,verified_original,DG110,unique,high,"Muck Rack raw date: Dec 13, 2020. Original kandidat från Muck Rack-rubriklänk. Muck Rack-utdrag innehåller även kredit/omnämnande: Simon Fredling Jack. Original verifierad mot Sveriges Television: titelmatchning och metadata."
MR101,Muck Rack,Sadika jobbade i butiken när bussen kraschade: ”Det lät som en bomb”,Sadika jobbade i butiken när bussen kraschade: ”Det lät som en bomb”,2020-12-08,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oTvvY8/sadika-jobbade-i-butiken-nar-bussen-kraschade-det-lat-som-en-bomb,https://www.svt.se/nyheter/lokalt/jonkoping/sadika-horde-bussen-krascha-det-lat-som-en-bomb,original_url_found,verified_original,DG111,unique,high,"Muck Rack raw date: Dec 08, 2020. Original kandidat från Muck Rack-rubriklänk. Muck Rack-utdrag innehåller även kredit/omnämnande: Simon Fredling Jack. Original verifierad mot Sveriges Television: titelmatchning och metadata."
MR102,Muck Rack,Efter bussolyckan - chauffören tagen ur tjänst,Efter bussolyckan – chauffören tagen ur tjänst,2020-12-08,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oTvfBi/efter-bussolyckan-chaufforen-tagen-ur-tjanst,https://www.svt.se/nyheter/lokalt/jonkoping/efter-bussolyckan-chaufforen-tagen-ur-tjanst-1,original_url_found,verified_original,DG112,unique,high,"Muck Rack raw date: Dec 08, 2020. Original kandidat från Muck Rack-rubriklänk. Muck Rack-utdrag innehåller även kredit/omnämnande: Simon Fredling Jack. Original verifierad mot Sveriges Television: titelmatchning och metadata."
MR103,Muck Rack,Hon flydde för livet under lägenhetsbranden: ”Den här natten har varit hemsk”,Hon flydde för livet under lägenhetsbranden: ”Den här natten har varit hemsk”,2020-12-06,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oTIIL1/hon-flydde-for-livet-under-lagenhetsbranden-den-har-natten-har-varit-hemsk,https://www.svt.se/nyheter/lokalt/jonkoping/hon-flydde-for-livet-under-lagenhetsbranden-den-har-natten-har-varit-hemsk,original_url_found,verified_original,DG113,unique,high,"Muck Rack raw date: Dec 06, 2020. Original kandidat från Muck Rack-rubriklänk. Muck Rack-utdrag innehåller även kredit/omnämnande: Simon Fredling Jack. Original verifierad mot Sveriges Television: titelmatchning och metadata."
MR104,Muck Rack,Sävsjö kommun håller endast digitala möten,Sävsjö kommun håller endast digitala möten,2020-12-04,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oTBM2h/savsjo-kommun-haller-endast-digitala-moten,https://www.svt.se/nyheter/lokalt/jonkoping/savsjo-kommun-haller-endast-digitala-moten,original_url_found,verified_original,DG114,unique,high,"Muck Rack raw date: Dec 04, 2020. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata."
MR105,Muck Rack,Nya uppgifter om 6-åriga Jasminas försvinnande,Nya uppgifter om 6-åriga Jasminas försvinnande,2020-11-28,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oCGk0M/nya-uppgifter-om-6-ariga-jasminas-forsvinnande,https://www.svt.se/nyheter/lokalt/jonkoping/nya-uppgifter-om-6-ariga-jasminas-forsvinnande,original_url_found,verified_original,DG115,unique,high,"Muck Rack raw date: Nov 28, 2020. Original kandidat från Muck Rack-rubriklänk. Muck Rack-utdrag innehåller även kredit/omnämnande: Simon Fredling Jack. Original verifierad mot Sveriges Television: titelmatchning och metadata."
MR106,Muck Rack,Jasminas mamma: ”Hon lever fortfarande”,Jasminas mamma: ”Hon lever fortfarande”,2020-11-28,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oCGk0I/jasminas-mamma-hon-lever-fortfarande,https://www.svt.se/nyheter/lokalt/jonkoping/jasminas-mamma-hon-lever-fortfarande,original_url_found,verified_original,DG116,unique,high,"Muck Rack raw date: Nov 28, 2020. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata."
MR107,Muck Rack,Se ett smakprov ur en digital julkalender,Se ett smakprov ur en digital julkalender,2020-11-28,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oCGo2O/se-ett-smakprov-ur-en-digital-julkalender,https://www.svt.se/nyheter/lokalt/jonkoping/femtinge-teater-staller-om-gor-digital-julkalendern,original_url_found,verified_original,DG117,unique,high,"Muck Rack raw date: Nov 27, 2020. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata."
MR108,Muck Rack,Så ska Svenska kyrkan i Värnamo fira jul,Så ska Svenska kyrkan i Värnamo fira jul,2020-11-22,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oCZsVO/sa-ska-svenska-kyrkan-i-varnamo-fira-jul,https://www.svt.se/nyheter/lokalt/jonkoping/sa-ska-svenska-kyrkan-i-varnamo-fira-jul,original_url_found,verified_original,DG118,unique,high,"Muck Rack raw date: Nov 21, 2020. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata."
MR109,Muck Rack,Kyrkoherden: ”Kvar blir fyra platser för anhöriga”,Kyrkoherden: ”Kvar blir fyra platser för anhöriga”,2020-11-19,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oCKZ2y/kyrkoherden-kvar-blir-fyra-platser-for-anhoriga,https://www.svt.se/nyheter/lokalt/jonkoping/kyrkoherden-kvar-blir-fyra-platser-for-anhoriga,original_url_found,verified_original,DG119,duplicate,high,"Muck Rack raw date: Nov 19, 2020. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata. Dubblettgrupp baserad på verifierad URL eller samma titel/datum/källa."
MR110,Muck Rack,Kyrkoherden: ”Kvar blir fyra platser för anhöriga”,Kyrkoherden: ”Kvar blir fyra platser för anhöriga”,2020-11-19,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oCK4oy/kyrkoherden-kvar-blir-fyra-platser-for-anhoriga,https://www.svt.se/nyheter/lokalt/jonkoping/kyrkoherden-kvar-blir-fyra-platser-for-anhoriga,original_url_found,verified_original,DG119,duplicate,high,"Muck Rack raw date: Nov 19, 2020. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata. Dubblettgrupp baserad på verifierad URL eller samma titel/datum/källa."
MR111,Both,Så drabbas utsatta människor av corona,Så drabbas utsatta människor av corona,2020-11-17,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oC8oOT/sa-drabbas-utsatta-manniskor-av-corona,https://www.svt.se/nyheter/lokalt/jonkoping/sa-drabbas-utsatta-manniskor-under-pandemin,original_url_found,mixed,DG120,unique,high,"Muck Rack raw date: Nov 17, 2020. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata. Deep Research-belägg: Deep Research stödjande titel; matchar Muck Rack-post."
MR112,Muck Rack,Här är hjälpen hemlösa kan få under pandemin,Här är hjälpen hemlösa kan få under pandemin,2020-11-17,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/oC8pfe/har-ar-hjalpen-hemlosa-kan-fa-under-pandemin,https://www.svt.se/nyheter/lokalt/jonkoping/har-ar-hjalpen-hemlosa-kan-fa,original_url_found,verified_original,DG121,unique,high,"Muck Rack raw date: Nov 17, 2020. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata."
MR113,Muck Rack,Vargattack sydväst om Skillingaryd,Vargattack sydväst om Skillingaryd,2020-11-12,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/o8P7li/vargattack-sydvast-om-skillingaryd,https://www.svt.se/nyheter/lokalt/jonkoping/vargattack-sydvast-om-skillingaryd,original_url_found,verified_original,DG122,unique,high,"Muck Rack raw date: Nov 12, 2020. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata."
MR114,Muck Rack,Efter schematvisten: Så mycket får berörd vårdpersonal,Efter schematvisten: Så mycket får berörd vårdpersonal,2020-11-12,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/o8Ekie/efter-schematvisten-sa-mycket-far-berord-vardpersonal,https://www.svt.se/nyheter/lokalt/jonkoping/overenskommelse-mellan-vardforbundet-och-region-jonkopings-lan-klart,original_url_found,verified_original,DG123,unique,high,"Muck Rack raw date: Nov 12, 2020. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata."
MR115,Muck Rack,Flera stölder ur BMW-bilar - här är polisens råd,Flera stölder ur BMW-bilar – här är polisens råd,2020-11-12,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/o8EzdG/flera-stolder-ur-bmw-bilar-har-ar-polisens-rad,https://www.svt.se/nyheter/lokalt/jonkoping/flera-stolder-ur-bmw-bilar-har-ar-polisens-rad,original_url_found,verified_original,DG124,unique,high,"Muck Rack raw date: Nov 12, 2020. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata."
MR116,Muck Rack,Se trängseln på bussarna i Jönköping,Se trängseln på bussarna i Jönköping,2020-11-12,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/o8MZ3E/se-trangseln-pa-bussarna-i-jonkoping,https://www.svt.se/nyheter/lokalt/jonkoping/skoleleverna-extrem-trangsel-pa-bussar-i-jonkoping-dagligen,original_url_found,verified_original,DG125,unique,high,"Muck Rack raw date: Nov 11, 2020. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata."
MR117,Muck Rack,Därför råder inga skärpta restriktioner på bussarna,Därför råder inga skärpta restriktioner på bussarna,2020-11-12,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/o8MZ3I/darfor-rader-inga-skarpta-restriktioner-pa-bussarna,https://www.svt.se/nyheter/lokalt/jonkoping/darfor-rader-inte-skarpta-coronarestriktioner-pa-bussarna,original_url_found,verified_original,DG126,unique,high,"Muck Rack raw date: Nov 11, 2020. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata."
MR118,Muck Rack,Friskis lockade folk till gymmet - trots avrådan från smittskydd,Friskis lockade folk till gymmet – trots avrådan från smittskydd,2020-11-07,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/o8cQNR/friskis-lockade-folk-till-gymmet-trots-avradan-fran-smittskydd,https://www.svt.se/nyheter/lokalt/jonkoping/friskis-flaggade-for-att-folk-kunde-gymma-trots-strikta-rad,original_url_found,verified_original,DG127,unique,high,"Muck Rack raw date: Nov 06, 2020. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata."
MR119,Muck Rack,Attention Jönköping: ”Myndigheterna saknar kunskap om ADHD”,Attention Jönköping: ”Myndigheterna saknar kunskap om ADHD”,2020-11-05,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/o8I9eX/attention-jonkoping-myndigheterna-saknar-kunskap-om-adhd,https://www.svt.se/nyheter/attention-jonkoping-myndigheterna-saknar-kunskap-om-adhd,original_url_found,verified_original,DG128,unique,high,"Muck Rack raw date: Nov 05, 2020. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata."
MR120,Muck Rack,Hon gör videosketcher om ADHD: “Vill visa hur det är”,Hon gör videosketcher om ADHD: ”Vill visa hur det är”,2020-11-05,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/o8V146/hon-gor-videosketcher-om-adhd-vill-visa-hur-det-ar,https://www.svt.se/nyheter/lokalt/jonkoping/hon-gor-tiktok-videos-om-adhd,original_url_found,verified_original,DG129,unique,high,"Muck Rack raw date: Nov 04, 2020. Original kandidat från Muck Rack-rubriklänk. Muck Rack-utdrag innehåller även kredit/omnämnande: Simon Fredling Jack. Original verifierad mot Sveriges Television: titelmatchning och metadata."
MR121,Muck Rack,Nu ska värdesaker räddas efter branden i kyrktornet,Nu ska värdesaker räddas efter branden i klockstapeln,2020-11-04,Sveriges Television,By Simon Fredling,Simon Fredling,https://muckrack.com/link/o8HHpW/nu-ska-vardesaker-raddas-efter-branden-i-kyrktornet,https://www.svt.se/nyheter/lokalt/jonkoping/nu-ska-vardesaker-raddas-efter-branden-i-kyrktornet,original_url_found,verified_original,DG130,unique,high,"Muck Rack raw date: Nov 04, 2020. Original kandidat från Muck Rack-rubriklänk. Original verifierad mot Sveriges Television: titelmatchning och metadata."
